,unix_time,bid_price,bid_volume,ask_price,ask_volume
57,1720709100,14126522.0,21,14297446,27
58,1720709400,13930602.0,19,13979783,39
59,1720709700,13779364.0,26,13914206,46
60,1720710000,13861768.0,15,13984914,39
61,1720710300,14030165.0,20,13972083,25
62,1720710600,14280364.0,9,14056872,28
63,1720710900,14167034.0,31,14515523,31
64,1720711200,14178561.0,36,14495326,37
65,1720711500,14456202.0,24,14591630,3
66,1720711800,14124688.0,20,14199686,27
67,1720712100,14452850.0,21,14180805,20
68,1720712400,14160450.0,20,14363526,30
69,1720712700,14485557.0,26,14708103,23
70,1720713000,13876100.0,6,13989962,40
71,1720713300,13791292.0,14,14106308,38
72,1720713600,14286075.0,44,14490280,18
73,1720713900,14392501.0,17,14325588,24
74,1720714200,14090850.0,14,14351350,25
75,1720714500,14421207.0,14,14356054,17
76,1720714800,13932129.0,4,13917988,57
77,1720715100,13500000.0,15,13883560,72
78,1720715400,14000000.0,2,13967512,34
79,1720715700,14116666.0,6,14333393,27
80,1720716000,14016608.0,29,14380700,55
81,1720716300,14218978.0,17,14342786,51
82,1720716600,14259612.0,5,14246558,66
83,1720716900,13750497.0,8,13967779,43
84,1720717200,13921063.0,3,13988456,46
85,1720717500,13697312.0,13,14058191,66
86,1720717800,14049988.0,11,14100953,45
87,1720718100,13881620.0,1,13999163,58
88,1720718400,14093870.0,3,14119755,71
89,1720718700,14046935.0,6,14038853,60
90,1720719000,13952644.0,5,14145741,23
91,1720719300,13968363.0,8,13986462,63
92,1720719600,13545733.0,11,13873121,43
93,1720719900,14155924.0,10,14105085,55
94,1720720200,13754407.0,6,13885054,46
95,1720720500,13773067.0,26,14047606,54
96,1720720800,14002600.0,20,14169211,54
97,1720721100,14115978.0,16,14176416,55
98,1720721400,13825535.0,31,13956056,32
99,1720721700,13881610.0,10,13921548,72
100,1720722000,13947858.0,22,14035000,37
101,1720722300,14134201.0,28,14094278,41
102,1720722600,13921074.0,6,14034151,66
103,1720722900,13937235.0,24,14248019,36
104,1720723200,13863273.0,18,14113391,33
105,1720723500,14188856.0,42,14224778,47
106,1720723800,14073391.0,30,14149979,57
107,1720724100,13957411.0,28,14382110,64
108,1720724400,14065999.0,33,14358776,92
109,1720724700,14038268.0,14,13975303,78
110,1720725000,13641469.0,9,13889141,58
111,1720725300,14286006.0,10,14569936,32
112,1720725600,14326950.0,13,14273316,29
113,1720725900,14058528.0,18,14054510,38
114,1720726200,13745056.0,16,13909466,51
115,1720726500,13999144.0,19,14171301,44
116,1720726800,13918063.0,7,14107675,44
117,1720727100,14249191.0,27,14361087,30
118,1720727400,14099706.0,21,14333530,45
119,1720727700,14302782.0,17,14198204,37
120,1720728000,14007379.0,17,14170305,39
121,1720728300,13897938.0,6,14207794,38
122,1720728600,13678235.0,13,14059157,27
123,1720728900,13868445.0,11,14168746,56
124,1720729200,14069327.0,22,14215283,43
125,1720729500,14224175.0,34,14505137,22
126,1720729800,14266208.0,18,14578006,27
127,1720730100,13920779.0,33,13982737,53
128,1720730400,13927874.0,12,14031936,72
129,1720730700,13922299.0,30,14090792,64
130,1720731000,13905732.0,39,13951587,50
131,1720731300,13775189.0,34,13979434,70
132,1720731600,13869719.0,49,13933833,53
133,1720731900,13884899.0,36,13936997,56
134,1720732200,13708569.0,16,13832316,60
135,1720732500,13785978.0,13,13843811,63
136,1720732800,13822000.0,4,13888005,73
137,1720733100,13628252.0,8,13892139,43
138,1720733400,13525003.0,6,13887385,41
139,1720733700,13417500.0,8,13885794,69
140,1720734000,13850000.0,3,13899188,41
141,1720734300,13547046.0,15,13898442,34
142,1720734600,13412967.0,31,13906248,52
143,1720734900,13285582.0,22,13845189,60
144,1720735200,13708877.0,11,13621963,54
145,1720735500,13635714.0,7,13788509,71
146,1720735800,13521445.0,4,13386836,57
147,1720736100,13353486.0,18,13585549,63
148,1720736400,13365349.0,41,13542315,57
149,1720736700,13804163.0,20,13908898,38
150,1720737000,13637740.0,12,13782403,35
151,1720737300,13341652.0,4,13773254,58
152,1720737600,13818063.0,14,13830950,81
153,1720737900,13881610.0,11,13901622,28
154,1720738200,13874354.0,8,13893400,83
155,1720738500,13699958.0,8,13616061,54
156,1720738800,13285000.0,1,13722746,58
157,1720739100,13155010.0,2,13480821,43
158,1720739400,13159674.0,15,13677759,36
159,1720739700,13423039.0,15,13492703,48
160,1720740000,13191290.0,9,13522133,66
161,1720740300,13393870.0,3,13304576,33
162,1720740600,13044802.0,20,13184029,25
163,1720740900,13024571.0,8,13431772,39
164,1720741200,13120002.0,5,13527818,76
165,1720741500,13216323.0,5,13555920,59
166,1720741800,13445305.0,8,13573891,56
167,1720742100,13374444.0,5,13769453,49
168,1720742400,13446504.0,12,13602873,38
169,1720742700,13416767.0,15,13308815,52
170,1720743000,13044321.0,22,13260675,74
171,1720743300,13769665.0,20,13731442,52
172,1720743600,13770338.0,24,13544602,55
173,1720743900,13191629.0,10,13299063,73
174,1720744200,13413818.0,11,13583936,64
175,1720744500,13707472.0,6,13484285,62
176,1720744800,13349163.0,14,13376384,65
177,1720745100,13839209.0,18,13787497,42
178,1720745400,13209383.0,4,13580797,37
179,1720745700,13095843.0,3,13385980,41
180,1720746000,13034347.0,9,13221617,71
181,1720746300,13067145.0,7,13223141,47
182,1720746600,13226154.0,8,13240250,32
183,1720746900,13178155.0,19,13168379,48
184,1720747200,13003833.0,18,13249474,52
185,1720747500,13080000.0,15,13422023,48
186,1720747800,13047506.0,10,13200361,56
187,1720748100,13229177.0,6,13438285,80
188,1720748400,13233333.0,3,13369938,30
189,1720748700,13516089.0,23,13389578,66
190,1720749000,13352644.0,5,13291961,44
191,1720749300,13084615.0,13,13314740,50
192,1720749600,13677538.0,22,13416848,28
193,1720749900,13563948.0,25,13622908,37
194,1720750200,13015385.0,13,13417420,37
195,1720750500,13199403.0,25,13307395,29
196,1720750800,13852255.0,13,13725811,34
